On the day 1 , the price is $10.20
On the day 2 , the price is $10.36
On the day 3 , the price is $11.07
On the day 4 , the price is $12.12
On the day 5 , the price is $12.76
On the day 6 , the price is $12.87
On the day 7 , the price is $12.31
On the day 8 , the price is $11.72
On the day 9 , the price is $11.65
On the day 10 , the price is $11.37
On the day 11 , the price is $11.55
On the day 12 , the price is $11.34
On the day 13 , the price is $10.79
On the day 14 , the price is $11.54
On the day 15 , the price is $11.74
On the day 16 , the price is $11.33
On the day 17 , the price is $11.81
On the day 18 , the price is $11.58
On the day 19 , the price is $11.33
On the day 20 , the price is $11.76
On the day 21 , the price is $12.08
On the day 22 , the price is $13.11
On the day 23 , the price is $12.84
On the day 24 , the price is $13.86
On the day 25 , the price is $13.56
On the day 26 , the price is $13.34
On the day 27 , the price is $13.88
On the day 28 , the price is $13.56
On the day 29 , the price is $13.46
On the day 30 , the price is $13.12
On the day 31 , the price is $12.79
On the day 32 , the price is $13.48
On the day 33 , the price is $12.94
On the day 34 , the price is $13.01
On the day 35 , the price is $12.48
On the day 36 , the price is $12.01
On the day 37 , the price is $12.30
On the day 38 , the price is $12.21
On the day 39 , the price is $12.99
On the day 40 , the price is $12.94
On the day 41 , the price is $13.11
On the day 42 , the price is $13.51
On the day 43 , the price is $14.42
On the day 44 , the price is $14.35
On the day 45 , the price is $13.71
On the day 46 , the price is $14.25
On the day 47 , the price is $15.53
On the day 48 , the price is $15.31
On the day 49 , the price is $14.91
On the day 50 , the price is $15.97
On the day 51 , the price is $16.09
On the day 52 , the price is $15.84
On the day 53 , the price is $15.80
On the day 54 , the price is $16.06
On the day 55 , the price is $17.17
On the day 56 , the price is $16.99
On the day 57 , the price is $16.63
On the day 58 , the price is $15.83
On the day 59 , the price is $15.11
On the day 60 , the price is $14.90
On the day 61 , the price is $14.35
On the day 62 , the price is $13.97
On the day 63 , the price is $14.27
On the day 64 , the price is $13.81
On the day 65 , the price is $14.44
On the day 66 , the price is $15.31
On the day 67 , the price is $14.90
